Station,Size_Class,Depth,Bin_Size,DNAperLiter,MassperLiter,ParticlesPerLiter
3.1,1.2,Surface,3.8,3478.72340425532,6.339999999999986,2665036540.7266245
3.1,1.2,Bottom,3.8,4791.666666666667,18.499999999999996,12051054000.283237
3.1,5,Surface,15,15.128342245989304,2.9718787878787825,76085337.18657437
3.1,5,Bottom,15,2191.621621621621,36.18518918918916,404577993.2479047
3.1,20,Surface,33,0.7870312499999998,0.5608406250000004,1393951.911792906
3.1,20,Bottom,33,168.10267857142858,12.350925000000002,8675915.822146215
3.1,53,Surface,127,0.6956194196428571,0.18440781250000027,185214.07553338158
3.1,53,Bottom,127,203.99999999999997,2.786142857142857,1287664.5504342762
3.1,180,Surface,320,30.44155844155844,0.06857142857142821,6838.999519859784
3.1,180,Bottom,320,79.61904761904762,0.5001142857142863,54628.34656960949
3.2,1.2,Surface,3.8,4338.235294117647,13.469999999999978,1751184793.6175833
3.2,1.2,Bottom,3.8,10419.354838709674,18.37619047619048,2852537419.5187325
3.2,5,Surface,15,1451.9195612431442,8.515016975711692,78682115.18375617
3.2,5,Bottom,15,2256.410256410256,12.274871794871794,126522116.24009936
3.2,20,Surface,33,128.94230769230768,0.3802153846153849,2239419.940448375
3.2,20,Bottom,33,153.61309523809524,1.8550535714285714,3556128.5486400328
3.2,53,Surface,127,161.92307692307693,0.34461538461538416,405558.7999226507
3.2,53,Bottom,127,178.28571428571428,0.5324571428571425,638359.6942055683
3.2,180,Surface,320,6.742603550295858,0.19446923076923017,22085.32353119902
3.2,180,Bottom,320,165.98214285714286,0.42491428571428574,34380.326109633694
3.3,1.2,Surface,3.8,NA,9.610000000000003,2668083857.292676
3.3,1.2,Bottom,3.8,6548.387096774192,17.252380952380953,1255963881.411833
3.3,5,Surface,15,17.547585654177517,7.194161490683228,67414094.46442407
3.3,5,Bottom,15,2400.0000000000005,11.687225806451611,53317319.60631873
3.3,20,Surface,33,141.08823529411762,0.5234218487394956,1096903.2627314955
3.3,20,Bottom,33,276.11111111111114,2.6403999999999996,1436084.9013330543
3.3,53,Surface,127,183.94117647058826,0.43257352941176447,134081.75768850488
3.3,53,Bottom,127,522.4197530864197,2.219933333333333,250186.14662723453
3.3,180,Surface,320,35.44117647058823,0.3594705882352945,4459.038902006513
3.3,180,Bottom,320,88.43033509700177,0.7627724867724869,12977.532459906426
4.3,1.2,Surface,3.8,NA,23.41764705882354,1485214301.3482404
4.3,1.2,Oxy,3.8,3345.0704225352115,24.01666666666667,1278792133.3252194
4.3,1.2,Bottom,3.8,3813.559322033898,13.194999999999995,252054965.52526227
4.3,5,Surface,15,793.9369658119657,6.741880341880338,40608677.20053477
4.3,5,Oxy,15,534.1666666666667,19.990000000000006,36050243.80296027
4.3,5,Bottom,15,426.57677250978685,9.8,11040303.532043412
4.3,20,Surface,33,160.03846153846155,0.7980865384615388,713402.1866344821
4.3,20,Oxy,33,NA,1.1586694736842114,652412.8449890864
4.3,20,Bottom,33,47.35023041474655,0.49253225806451567,306548.0463183734
4.3,53,Surface,127,205.96153846153845,0.6313846153846157,92033.12064412949
4.3,53,Oxy,127,116.17142857142856,1.3101079999999992,85940.91129395743
4.3,53,Bottom,127,16.75907258064516,0.6044086021505378,54558.85823066413
